ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2014,"2014",1288,"Pennsylvania","04000US42","pennsylvania",2989,0.00023374920985494177
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2014,"2014",780,"Pennsylvania","04000US42","pennsylvania",1208,0.00009446940297918021
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2014,"2014",4848,"Pennsylvania","04000US42","pennsylvania",23044,0.0018021133462352886
5,"Some Other Race Alone",1,"Hispanic or Latino",2014,"2014",13240,"Pennsylvania","04000US42","pennsylvania",218447,0.01708324310645114
6,"Two or More Races",0,"Not Hispanic or Latino",2014,"2014",8927.992215498398,"Pennsylvania","04000US42","pennsylvania",213247,0.01667658673601096
6,"Two or More Races",1,"Hispanic or Latino",2014,"2014",8132.101143001112,"Pennsylvania","04000US42","pennsylvania",75910,0.005936400976945008
0,"White Alone",0,"Not Hispanic or Latino",2013,"2013",3891.0000000000005,"Pennsylvania","04000US42","pennsylvania",9994679,0.7824357839925642
0,"White Alone",1,"Hispanic or Latino",2013,"2013",14321,"Pennsylvania","04000US42","pennsylvania",433015,0.033898680588495156
1,"Black or African American Alone",0,"Not Hispanic or Latino",2013,"2013",7606,"Pennsylvania","04000US42","pennsylvania",1354237,0.10601676039888205
1,"Black or African American Alone",1,"Hispanic or Latino",2013,"2013",8076.999999999999,"Pennsylvania","04000US42","pennsylvania",54784,0.004288778257935911
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2013,"2013",1779,"Pennsylvania","04000US42","pennsylvania",14036,0.0010988115440345439
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2013,"2013",2611,"Pennsylvania","04000US42","pennsylvania",8819,0.0006903974784012996
3,"Asian Alone",0,"Not Hispanic or Latino",2013,"2013",4704,"Pennsylvania","04000US42","pennsylvania",381204,0.02984264433115875
3,"Asian Alone",1,"Hispanic or Latino",2013,"2013",1526,"Pennsylvania","04000US42","pennsylvania",3579,0.0002801828523866937
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2013,"2013",600,"Pennsylvania","04000US42","pennsylvania",919,0.00007194413002050055
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2013,"2013",874.9999999999999,"Pennsylvania","04000US42","pennsylvania",1322,0.00010349307931131853
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2013,"2013",3737,"Pennsylvania","04000US42","pennsylvania",17944,0.0014047502383981087
5,"Some Other Race Alone",1,"Hispanic or Latino",2013,"2013",14679,"Pennsylvania","04000US42","pennsylvania",246155,0.01927030176843995
6,"Two or More Races",0,"Not Hispanic or Latino",2013,"2013",8623.030615740618,"Pennsylvania","04000US42","pennsylvania",202635,0.015863328385967497
6,"Two or More Races",1,"Hispanic or Latino",2013,"2013",6439.355557817878,"Pennsylvania","04000US42","pennsylvania",60473,0.004734142954004059
