County,Race,Coverage,Total Count
Fulton,African American,Fully Covered,
Fulton,African American,Partially Covered,
Fulton,Asian,Partially Covered,
Fulton,Multiple/Other,Partially Covered,
Fulton,Unknown,Fully Covered,77
Fulton,Unknown,Partially Covered,83
Fulton,White,Fully Covered,152
Fulton,White,Partially Covered,502
Greene,African American,Fully Covered,
Greene,African American,Partially Covered,11
Greene,Asian,Fully Covered,
Greene,Asian,Partially Covered,
Greene,Multiple/Other,Fully Covered,18
Greene,Multiple/Other,Partially Covered,20
Greene,Unknown,Fully Covered,248
Greene,Unknown,Partially Covered,880
Greene,White,Partially Covered,2354
Greene,White,Fully Covered,317
Huntingdon,African American,Partially Covered,29
Huntingdon,African American,Fully Covered,9
Huntingdon,Asian,Partially Covered,
Huntingdon,Multiple/Other,Partially Covered,63
Huntingdon,Multiple/Other,Fully Covered,92
Huntingdon,Unknown,Partially Covered,567
Huntingdon,Unknown,Fully Covered,629
Huntingdon,White,Fully Covered,1373
Huntingdon,White,Partially Covered,2844
Indiana,African American,Partially Covered,21
Indiana,African American,Fully Covered,8
Indiana,Asian,Partially Covered,5
Indiana,Asian,Fully Covered,7
Indiana,Multiple/Other,Fully Covered,93
Indiana,Multiple/Other,Partially Covered,143
Indiana,Unknown,Partially Covered,1605
Indiana,Unknown,Fully Covered,1053
Indiana,White,Fully Covered,1718
Indiana,White,Partially Covered,3687
Jefferson,African American,Partially Covered,
Jefferson,African American,Fully Covered,
Jefferson,Asian,Fully Covered,
Jefferson,Asian,Partially Covered,
Jefferson,Multiple/Other,Fully Covered,75
Jefferson,Multiple/Other,Partially Covered,69
Jefferson,Unknown,Fully Covered,825
Jefferson,Unknown,Partially Covered,721
Jefferson,White,Fully Covered,1751
Jefferson,White,Partially Covered,2843
Juniata,African American,Partially Covered,
Juniata,African American,Fully Covered,
Juniata,Multiple/Other,Fully Covered,44
Juniata,Multiple/Other,Partially Covered,30
Juniata,Unknown,Partially Covered,190
Juniata,Unknown,Fully Covered,234
Juniata,White,Fully Covered,400
Juniata,White,Partially Covered,2038
Lackawanna,African American,Fully Covered,129
Lackawanna,African American,Partially Covered,238
Lackawanna,Asian,Fully Covered,24
Lackawanna,Asian,Partially Covered,53
Lackawanna,Multiple/Other,Fully Covered,463
Lackawanna,Multiple/Other,Partially Covered,945
Lackawanna,Unknown,Fully Covered,4554
Lackawanna,Unknown,Partially Covered,4317
Lackawanna,White,Fully Covered,8572
Lackawanna,White,Partially Covered,19172
Lancaster,African American,Fully Covered,285
Lancaster,African American,Partially Covered,467
Lancaster,Asian,Fully Covered,25
Lancaster,Asian,Partially Covered,64
Lancaster,Multiple/Other,Fully Covered,1887
Lancaster,Multiple/Other,Partially Covered,2149
Lancaster,Unknown,Fully Covered,4154
Lancaster,Unknown,Partially Covered,5971
Lancaster,White,Fully Covered,12578
Lancaster,White,Partially Covered,24149
Lawrence,African American,Fully Covered,24
Lawrence,African American,Partially Covered,99
Lawrence,Asian,Fully Covered,
Lawrence,Asian,Partially Covered,
Lawrence,Multiple/Other,Fully Covered,93
Lawrence,Multiple/Other,Partially Covered,153
Lawrence,Unknown,Fully Covered,827
Lawrence,Unknown,Partially Covered,1934
Lawrence,White,Fully Covered,1511
Lawrence,White,Partially Covered,5639
Lebanon,African American,Fully Covered,46
Lebanon,African American,Partially Covered,50
Lebanon,Asian,Fully Covered,6
Lebanon,Asian,Partially Covered,
Lebanon,Multiple/Other,Fully Covered,403
Lebanon,Multiple/Other,Partially Covered,529
Lebanon,Unknown,Fully Covered,1247
Lebanon,Unknown,Partially Covered,1089
Lebanon,White,Fully Covered,3440
Lebanon,White,Partially Covered,5829
Lehigh,African American,Fully Covered,525
Lehigh,African American,Partially Covered,512
Lehigh,Asian,Fully Covered,56
Lehigh,Asian,Partially Covered,60
Lehigh,Multiple/Other,Fully Covered,1936
Lehigh,Multiple/Other,Partially Covered,1562
Lehigh,Unknown,Fully Covered,3619
Lehigh,Unknown,Partially Covered,5464
Lehigh,White,Fully Covered,19333
Lehigh,White,Partially Covered,21253
Luzerne,African American,Fully Covered,134
Luzerne,African American,Partially Covered,190
Luzerne,Asian,Fully Covered,36
Luzerne,Asian,Partially Covered,55
Luzerne,Multiple/Other,Fully Covered,513
Luzerne,Multiple/Other,Partially Covered,522
Luzerne,Unknown,Fully Covered,3492
Luzerne,Unknown,Partially Covered,3892
Luzerne,White,Fully Covered,12581
Luzerne,White,Partially Covered,29070
Lycoming,African American,Fully Covered,53
Lycoming,African American,Partially Covered,101
Lycoming,Asian,Fully Covered,5
Lycoming,Asian,Partially Covered,
Lycoming,Multiple/Other,Fully Covered,670
Lycoming,Multiple/Other,Partially Covered,841
Lycoming,Unknown,Fully Covered,1006
Lycoming,Unknown,Partially Covered,1247
Lycoming,White,Fully Covered,3032
Lycoming,White,Partially Covered,7494
Mckean,African American,Fully Covered,
Mckean,African American,Partially Covered,11
Mckean,Asian,Fully Covered,
Mckean,Multiple/Other,Fully Covered,10
Mckean,Multiple/Other,Partially Covered,52
Mckean,Unknown,Fully Covered,825
Mckean,Unknown,Partially Covered,641
Mckean,White,Fully Covered,662
Mckean,White,Partially Covered,1137
Mercer,African American,Fully Covered,85
Mercer,African American,Partially Covered,225
Mercer,Asian,Partially Covered,
Mercer,Multiple/Other,Fully Covered,152
Mercer,Multiple/Other,Partially Covered,228
Mercer,Unknown,Fully Covered,1165
Mercer,Unknown,Partially Covered,3527
Mercer,White,Fully Covered,3046
Mercer,White,Partially Covered,8196
Mifflin,African American,Fully Covered,10
